	(1)	(2)	(3)
	[0.1577]	[0.1572]	[0.1566]
_Iyear_1984	-0.3797**	-0.3656**	-0.3610**
	[0.1515]	[0.1510]	[0.1505]
_Iyear_1985	-0.3664**	-0.3524**	-0.3491**
	[0.1455]	[0.1450]	[0.1445]
_Iyear_1986	-0.3521**	-0.3379**	-0.3340**
	[0.1395]	[0.1391]	[0.1386]
_Iyear_1987	-0.2910**	-0.2806**	-0.2766**
	[0.1339]	[0.1335]	[0.1330]
_Iyear_1988	-0.2531**	-0.2418*	-0.2383*
	[0.1281]	[0.1277]	[0.1273]
_Iyear_1989	-0.2456**	-0.2366*	-0.2325*
	[0.1223]	[0.1219]	[0.1215]
_Iyear_1990	-0.2212*	-0.2128*	-0.2098*
	[0.1169]	[0.1166]	[0.1162]
_Iyear_1991	-0.2159*	-0.2075*	-0.2042*
	[0.1106]	[0.1103]	[0.1099]
_Iyear_1992	-0.2050*	-0.1965*	-0.1924*
	[0.1050]	[0.1047]	[0.1044]
_Iyear_1993	-0.2010**	-0.1937*	-0.1885*
	[0.0992]	[0.0989]	[0.0986]
_Iyear_1994	-0.1695*	-0.1623*	-0.1580*
	[0.0935]	[0.0932]	[0.0930]
_Iyear_1996	-0.1336	-0.1297	-0.1250
	[0.0825]	[0.0823]	[0.0821]
o._Iyear_1997	-	-	-
			
_Iyear_1998	-0.0959	-0.0929	-0.0912
	[0.0713]	[0.0712]	[0.0710]
o._Iyear_1999	-	-	-
			
_Iyear_2000	-0.0536	-0.0531	-0.0507
	[0.0605]	[0.0603]	[0.0602]
o._Iyear_2001	-	-	-
			
_Iyear_2002	-0.0709	-0.0701	-0.0706
	[0.0495]	[0.0494]	[0.0493]
o._Iyear_2003	-	-	-
			
_Iyear_2004	-0.1931***	-0.1929***	-0.1928***
	[0.0405]	[0.0404]	[0.0403]
o._Iyear_2005	-	-	-
			
_Iyear_2006	-0.1717***	-0.1701***	-0.1710***
	[0.0303]	[0.0303]	[0.0302]
o._Iyear_2007	-	-	-
			
_Iyear_2008	-0.0009	-0.0016	-0.0015
	[0.0163]	[0.0162]	[0.0162]
o._Iyear_2009	-	-	-
			
o._Iyear_2010	-	-	-
			
o._Iyear_2011	-	-	-
			
o._Iyear_2012	-	-	-
			
o._Iyear_2013	-	-	-
			
_Idiv_2	-0.0880**	-0.0869**	-0.0865**
	[0.0356]	[0.0353]	[0.0349]
_Idiv_3	-0.0822***	-0.0836***	-0.0819***
	[0.0302]	[0.0300]	[0.0297]
_Idiv_4	0.0146	0.0104	0.0115
	[0.0373]	[0.0372]	[0.0369]
_Imetro_1	0.0055	0.0041	0.0043
	[0.0124]	[0.0124]	[0.0123]
_Imetro_2	0.0120	0.0106	0.0109
	[0.0136]	[0.0137]	[0.0135]
_Imetro_3	-0.0035	-0.0042	-0.0044
	[0.0156]	[0.0156]	[0.0156]
_Imetro_4	0.0057	0.0058	0.0051
	[0.0424]	[0.0427]	[0.0425]
o._Imetro_5	-	-	-
			
_Iurban_1	0.0170*	0.0168*	0.0185**
	[0.0093]	[0.0093]	[0.0093]
_Iurban_2	0.0087	0.0083	0.0104
	[0.0247]	[0.0247]	[0.0246]
socskills		0.0039***	0.0176***
		[0.0013]	[0.0016]
afqt_socskills		0.0113***	0.0112***
		[0.0015]	[0.0018]
socnlsy_socskills		0.0050***	0.0041**
		[0.0015]	[0.0018]
afqt_socnlsy_socskills		0.0021	0.0011
		[0.0015]	[0.0018]
			
Observations	126,251	126,251	126,251
R-squared	0.3161	0.3159	0.3200
Number of uniqueID	11,050	11,050	11,050
Robust standard errors in brackets			
*** p<0.01, ** p<0.05, * p<0.10			
