	(1)	(2)	(3)	(4)	(5)
_Iyear_1983	-1.51	-1.41	-1.29	-3.63**	-3.14**
	[1.53]	[1.45]	[1.45]	[1.43]	[1.39]
_Iyear_1984	-1.97	-1.76	-1.67	-3.92***	-3.45**
	[1.51]	[1.44]	[1.43]	[1.41]	[1.37]
_Iyear_1985	-1.56	-1.33	-1.24	-3.42**	-2.98**
	[1.50]	[1.43]	[1.42]	[1.40]	[1.36]
_Iyear_1986	-1.31	-1.06	-0.98	-3.03**	-2.60*
	[1.48]	[1.41]	[1.40]	[1.38]	[1.34]
_Iyear_1987	-0.13	0.01	0.09	-1.85	-1.47
	[1.47]	[1.40]	[1.39]	[1.38]	[1.34]
_Iyear_1988	0.17	0.41	0.48	-1.36	-1.01
	[1.44]	[1.38]	[1.37]	[1.35]	[1.31]
_Iyear_1989	-0.21	0.01	0.08	-1.66	-1.34
	[1.43]	[1.37]	[1.36]	[1.34]	[1.30]
_Iyear_1990	-0.30	-0.08	-0.03	-1.66	-1.34
	[1.39]	[1.33]	[1.32]	[1.31]	[1.27]
_Iyear_1991	-0.67	-0.56	-0.49	-2.03	-1.78
	[1.36]	[1.30]	[1.30]	[1.28]	[1.24]
_Iyear_1992	-0.68	-0.60	-0.53	-1.97	-1.76
	[1.33]	[1.27]	[1.27]	[1.25]	[1.22]
_Iyear_1993	-7.86***	-7.82***	-7.78***	-9.13***	-8.92***
	[1.29]	[1.24]	[1.23]	[1.22]	[1.18]
_Iyear_1994	-0.04	-0.04	0.01	-1.24	-1.07
	[1.27]	[1.21]	[1.21]	[1.19]	[1.16]
_Iyear_1996	-0.03	0.03	0.06	-0.99	-0.85
	[1.15]	[1.11]	[1.10]	[1.09]	[1.06]
o._Iyear_1997	-	-	-	-	-
					
_Iyear_1998	1.09	1.00	1.03	0.15	0.18
	[1.01]	[0.97]	[0.97]	[0.96]	[0.93]
o._Iyear_1999	-	-	-	-	-
					
_Iyear_2000	0.58	0.77	0.79	0.17	0.33
	[0.82]	[0.80]	[0.79]	[0.79]	[0.77]
o._Iyear_2001	-	-	-	-	-
					
_Iyear_2002	0.82	0.91	0.92	0.51	0.57
	[0.66]	[0.64]	[0.64]	[0.64]	[0.63]
o._Iyear_2003	-	-	-	-	-
					
_Iyear_2004	0.19	0.17	0.17	-0.04	-0.06
	[0.44]	[0.43]	[0.43]	[0.43]	[0.43]
o._Iyear_2005	-	-	-	-	-
					
o._Iyear_2006	-	-	-	-	-
					
o._Iyear_2007	-	-	-	-	-
					
_Iyear_2008	0.46	0.38	0.36	0.56	0.47
	[0.45]	[0.44]	[0.44]	[0.44]	[0.43]
o._Iyear_2009	-	-	-	-	-
					
_Iyear_2010	1.23*	1.08	1.04	1.47**	1.32**
	[0.68]	[0.66]	[0.66]	[0.65]	[0.64]
o._Iyear_2011	-	-	-	-	-
					
_Iyear_2012	1.07	0.92	0.88	1.51*	1.30
	[0.94]	[0.91]	[0.91]	[0.90]	[0.87]
o._Iyear_2013	-	-	-	-	-
					
_Idiv_2	-3.54***	-3.40***	-3.35***	-3.25***	-2.95***
	[0.44]	[0.42]	[0.42]	[0.42]	[0.40]
_Idiv_3	-2.49***	-1.92***	-1.89***	-1.84***	-1.96***
	[0.45]	[0.43]	[0.43]	[0.43]	[0.41]
_Idiv_4	-0.93*	-0.87*	-0.74	-0.76	-0.64
	[0.52]	[0.50]	[0.50]	[0.50]	[0.48]
_Imetro_1	1.90***	1.55***	1.58***	1.53***	1.40***
	[0.28]	[0.27]	[0.27]	[0.27]	[0.27]
_Imetro_2	2.78***	2.11***	2.14***	2.05***	1.73***
	[0.34]	[0.33]	[0.33]	[0.33]	[0.32]
_Imetro_3	2.14***	1.44***	1.40***	1.33***	0.87**
	[0.41]	[0.40]	[0.40]	[0.40]	[0.40]
_Imetro_4	4.63***	3.85***	3.81***	3.65***	3.23**
	[1.44]	[1.41]	[1.41]	[1.41]	[1.36]
o._Imetro_5	-	-	-	-	-
					
_Iurban_1	2.33***	1.76***	1.74***	1.65***	1.29***
	[0.30]	[0.29]	[0.28]	[0.28]	[0.27]
_Iurban_2	1.68*	1.28	1.36	1.40*	0.96
	[0.90]	[0.85]	[0.85]	[0.85]	[0.82]
					
Observations	133,599	133,599	133,599	133,535	133,535
R-squared	0.132	0.17	0.173	0.176	0.195
Robust standard errors in brackets					
*** p<0.01, ** p<0.05, * p<0.10					
