	(1)	(2)	(3)	(4)	(5)	(6)
	[0.121]	[0.123]	[0.192]	[0.080]	[0.131]	[0.101]
_Iage_42	0.020	0.075	0.272	0.129*	-0.127	0.155
	[0.120]	[0.124]	[0.193]	[0.076]	[0.132]	[0.096]
_Iage_43	0.007	-0.014	0.278	0.062	-0.187	0.106
	[0.116]	[0.117]	[0.188]	[0.073]	[0.128]	[0.091]
_Iage_44	0.037	0.056	0.288	0.122*	-0.139	0.158*
	[0.115]	[0.116]	[0.189]	[0.068]	[0.128]	[0.085]
_Iage_45	0.002	-0.015	0.240	0.068	-0.151	0.069
	[0.110]	[0.110]	[0.183]	[0.065]	[0.123]	[0.081]
_Iage_46	0.059	0.018	0.312*	0.102*	-0.124	0.123*
	[0.109]	[0.109]	[0.185]	[0.060]	[0.124]	[0.072]
_Iage_47	0.016	-0.021	0.253	0.070	-0.138	0.068
	[0.104]	[0.102]	[0.179]	[0.058]	[0.118]	[0.070]
_Iage_48	0.006	0.009	0.305*	0.066	-0.136	0.074
	[0.105]	[0.103]	[0.181]	[0.051]	[0.120]	[0.061]
_Iage_49	-0.041	-0.049	0.283	0.007	-0.134	-0.013
	[0.102]	[0.097]	[0.179]	[0.055]	[0.117]	[0.067]
_Iage_50	-0.017	0.010	0.304*	0.054	-0.149	0.062
	[0.104]	[0.100]	[0.180]	[0.047]	[0.119]	[0.056]
_Iage_51	-0.008	-0.066	0.308*	0.010	-0.105	-0.033
	[0.099]	[0.095]	[0.171]	[0.055]	[0.114]	[0.066]
_Iage_52	-0.016	-0.060	0.315*	0.006	-0.163	0.007
	[0.105]	[0.100]	[0.180]	[0.042]	[0.119]	[0.049]
_Iage_53	-0.013	-0.004	0.326*	0.040	-0.036	-0.041
	[0.099]	[0.096]	[0.168]	[0.060]	[0.112]	[0.072]
_Iage_54	0.032	-0.101	0.321*		-0.160	
	[0.114]	[0.104]	[0.181]		[0.122]	
o._Iage_55	-	-	-		-	
						
o._Iyear_1980	-	-	-			-
						
_Iyear_1981	0.049	0.144**	0.082*	-0.831***	-0.756***	0.190***
	[0.056]	[0.056]	[0.046]	[0.079]	[0.084]	[0.070]
_Iyear_1982	0.074	0.125**	0.060	-0.825***	-0.760***	0.202***
	[0.054]	[0.057]	[0.045]	[0.077]	[0.080]	[0.072]
_Iyear_1983	0.069	0.186***	0.072*	-0.793***	-0.753***	0.251***
	[0.057]	[0.057]	[0.044]	[0.074]	[0.076]	[0.073]
_Iyear_1984	0.091	0.211***	0.098**	-0.771***	-0.737***	0.281***
	[0.058]	[0.057]	[0.043]	[0.072]	[0.074]	[0.074]
_Iyear_1985	0.140**	0.269***	0.112**	-0.711***	-0.686***	0.336***
	[0.058]	[0.057]	[0.044]	[0.071]	[0.072]	[0.074]
_Iyear_1986	0.166***	0.302***	0.178***	-0.691***	-0.679***	0.388***
	[0.059]	[0.057]	[0.044]	[0.069]	[0.071]	[0.075]
_Iyear_1987	0.262***	0.384***	0.233***	-0.593***	-0.600***	0.490***
	[0.059]	[0.058]	[0.044]	[0.068]	[0.069]	[0.076]
_Iyear_1988	0.322***	0.458***	0.296***	-0.527***	-0.536***	0.558***
	[0.061]	[0.059]	[0.046]	[0.066]	[0.066]	[0.077]
_Iyear_1989	0.339***	0.504***	0.317***	-0.494***	-0.521***	0.603***
	[0.063]	[0.060]	[0.046]	[0.065]	[0.064]	[0.078]
_Iyear_1990	0.380***	0.563***	0.349***	-0.440***	-0.473***	0.657***
	[0.065]	[0.061]	[0.047]	[0.063]	[0.062]	[0.080]
_Iyear_1991	0.409***	0.605***	0.386***	-0.405***	-0.458***	0.711***
	[0.066]	[0.062]	[0.048]	[0.061]	[0.060]	[0.080]
_Iyear_1992	0.437***	0.659***	0.393***	-0.357***	-0.411***	0.744***
	[0.069]	[0.063]	[0.049]	[0.059]	[0.058]	[0.083]
_Iyear_1993	0.478***	0.674***	0.434***	-0.331***	-0.401***	0.792***
	[0.068]	[0.065]	[0.050]	[0.057]	[0.055]	[0.081]
_Iyear_1994	0.518***	0.750***	0.482***	-0.272***	-0.332***	0.837***
	[0.071]	[0.066]	[0.052]	[0.054]	[0.051]	[0.082]
_Iyear_1996	0.575***	0.849***	0.529***	-0.187***	-0.273***	0.935***
	[0.074]	[0.070]	[0.055]	[0.049]	[0.046]	[0.085]
o._Iyear_1997	-	-	-	-	-	-
						
_Iyear_1998	0.682***	0.931***	0.587***	-0.084*	-0.173***	1.025***
	[0.079]	[0.075]	[0.059]	[0.044]	[0.039]	[0.089]
o._Iyear_1999	-	-	-	-	-	-
						
_Iyear_2000	0.715***	0.990***	0.659***	-0.042	-0.117***	1.067***
	[0.085]	[0.080]	[0.063]	[0.038]	[0.033]	[0.094]
o._Iyear_2001	-	-	-	-	-	-
						
_Iyear_2002	0.746***	1.035***	0.660***	0.006	-0.097***	1.119***
	[0.090]	[0.086]	[0.068]	[0.031]	[0.026]	[0.100]
o._Iyear_2003	-	-	-	-	-	-
						
_Iyear_2004	0.732***	0.913***	0.639***	-0.072***	-0.055***	0.950***
	[0.098]	[0.094]	[0.075]	[0.024]	[0.019]	[0.109]
o._Iyear_2005	-	-	-	-	-	-
						
_Iyear_2006	0.807***	0.960***	0.679***			1.025***
	[0.105]	[0.103]	[0.081]			[0.117]
o._Iyear_2007	-	-	-	-	-	-
						
_Iyear_2008	0.941***	1.263***	0.841***	0.228***	0.089***	1.352***
	[0.111]	[0.108]	[0.086]	[0.025]	[0.019]	[0.122]
o._Iyear_2009	-	-	-	-	-	-
						
_Iyear_2010	0.966***	1.342***	0.862***	0.289***	0.088***	1.451***
	[0.119]	[0.116]	[0.093]	[0.032]	[0.028]	[0.130]
o._Iyear_2011	-	-	-	-	-	-
						
_Iyear_2012	1.024***	1.387***	0.869***	0.352***	0.106***	1.529***
	[0.127]	[0.123]	[0.101]	[0.039]	[0.036]	[0.138]
o._Iyear_2013	-	-	-	-	-	-
						
_Idiv_2	-0.121***	-0.166***	-0.170***	-0.138***	-0.140***	-0.138***
	[0.022]	[0.024]	[0.024]	[0.019]	[0.020]	[0.025]
_Idiv_3	-0.094***	-0.112***	-0.149***	-0.090***	-0.140***	-0.080***
	[0.021]	[0.022]	[0.020]	[0.019]	[0.019]	[0.024]
_Idiv_4	-0.039	-0.057**	-0.043*	-0.050**	-0.068***	-0.043
	[0.025]	[0.026]	[0.023]	[0.022]	[0.024]	[0.026]
_Imetro_1	0.133***	0.143***	0.107***	0.140***	0.133***	0.142***
	[0.018]	[0.019]	[0.017]	[0.015]	[0.016]	[0.021]
_Imetro_2	0.137***	0.173***	0.091***	0.160***	0.143***	0.160***
	[0.020]	[0.021]	[0.017]	[0.018]	[0.019]	[0.023]
_Imetro_3	0.057**	0.174***	0.056***	0.120***	0.107***	0.102***
	[0.024]	[0.024]	[0.019]	[0.022]	[0.022]	[0.026]
_Imetro_4	0.125*	0.178**	0.076	0.161**	0.110*	0.147*
	[0.076]	[0.071]	[0.061]	[0.066]	[0.065]	[0.075]
o._Imetro_5	-	-	-	-	-	-
						
_Iurban_1	0.073***	0.051***	0.049***	0.067***	0.031**	0.081***
	[0.016]	[0.016]	[0.016]	[0.013]	[0.013]	[0.018]
_Iurban_2	0.042	0.078*	0.056	0.067*	0.020	0.101**
	[0.042]	[0.045]	[0.045]	[0.037]	[0.037]	[0.047]
o.hisp_male		-	-	-		
						
hisp_female		0.106***			0.077***	0.088***
		[0.019]			[0.025]	[0.027]
o.black_male		-		-		
						
black_female		0.076***	-0.014		0.019	0.042*
		[0.017]	[0.019]		[0.021]	[0.024]
female			-0.220***	-0.331***	-0.354***	-0.321***
			[0.021]	[0.013]	[0.017]	[0.019]
o._Iage_54				-		-
						
_Iage_55				0.149*		-0.047
				[0.080]		[0.092]
_Iyear_1980				-0.916***	-0.803***	
				[0.091]	[0.093]	
o._Iyear_2006				-	-	
						
						
Observations	65,006	61,185	57,133	69,058	67,840	58,351
R-squared	0.361	0.294	0.324	0.346	0.335	0.319
Robust standard errors in brackets						
*** p<0.01, ** p<0.05, * p<0.10						
