	(1)	(2)	(3)	(4)	(5)	(6)
	[2.97]	[1.92]	[1.57]	[2.24]	[0.37]	[2.93]
o._Iyear_2009	-	-	-	-	-	-
						
_Iyear_2010	2.13	7.28***	-0.14	5.70**	-0.51	10.78***
	[3.30]	[2.14]	[1.73]	[2.49]	[0.63]	[3.25]
o._Iyear_2011	-	-	-	-	-	-
						
_Iyear_2012	2.45	6.96***	-0.92	5.96**	-1.13	11.38***
	[3.69]	[2.32]	[1.92]	[2.75]	[0.73]	[3.63]
o._Iyear_2013	-	-	-	-	-	-
						
_Idiv_2	-3.48***	-2.93***	-3.46***	-3.12***	-2.10***	-3.99***
	[0.67]	[0.49]	[0.45]	[0.49]	[0.40]	[0.69]
_Idiv_3	-2.15***	-1.65***	-3.08***	-1.52***	-2.25***	-1.83***
	[0.68]	[0.50]	[0.38]	[0.52]	[0.37]	[0.70]
_Idiv_4	-0.94	-0.61	-0.91*	-0.76	-0.56	-1.23
	[0.78]	[0.59]	[0.49]	[0.59]	[0.50]	[0.76]
_Imetro_1	1.33***	1.68***	1.00***	1.53***	1.75***	1.88***
	[0.44]	[0.31]	[0.28]	[0.32]	[0.29]	[0.47]
_Imetro_2	2.07***	2.00***	1.18***	1.91***	1.92***	2.52***
	[0.52]	[0.37]	[0.28]	[0.40]	[0.33]	[0.56]
_Imetro_3	0.50	2.25***	0.22	1.50***	1.42***	1.34**
	[0.63]	[0.45]	[0.33]	[0.52]	[0.40]	[0.65]
_Imetro_4	4.84**	2.12	1.35	4.14**	3.08**	3.62*
	[2.33]	[1.37]	[1.32]	[1.84]	[1.31]	[2.15]
o._Imetro_5	-	-	-	-	-	-
						
_Iurban_1	1.98***	1.23***	0.53*	1.92***	0.42	2.32***
	[0.46]	[0.32]	[0.29]	[0.33]	[0.26]	[0.50]
_Iurban_2	1.23	1.50	1.74*	1.24	-0.50	2.57*
	[1.40]	[0.94]	[0.92]	[1.01]	[0.63]	[1.39]
o.hisp_male		-		-		
						
hisp_female		1.39***	0.25		1.25***	1.40**
		[0.36]	[0.34]		[0.41]	[0.57]
o.black_male		-	-	-		
						
black_female		0.78**			0.38	0.69
		[0.31]			[0.34]	[0.51]
o._Iage_54		-		-	-	
						
_Iage_55		1.82		-1.24	4.92*	
		[1.73]		[2.47]	[2.64]	
female			-2.80***	-6.54***	-5.53***	-7.61***
			[0.29]	[0.33]	[0.31]	[0.54]
_Iyear_1980					0.26	
					[1.70]	
o._Iyear_2006					-	
						
						
Observations	68,185	65,350	60,010	73,525	68,321	65,214
R-squared	0.176	0.133	0.157	0.173	0.117	0.181
Robust standard errors in brackets						
*** p<0.01, ** p<0.05, * p<0.10						
