	(1)	(2)	(3)	(4)	(5)	(6)	(7)
	[0.014]	[0.013]	[0.013]	[0.013]	[0.013]	[0.013]	[0.013]
hisp_male	-0.168***	-0.012	-0.013	-0.011	-0.018	-0.012	-0.018
	[0.021]	[0.020]	[0.020]	[0.020]	[0.019]	[0.020]	[0.019]
hisp_female	-0.060***	0.102***	0.099***	0.097***	0.080***	0.096***	0.080***
	[0.020]	[0.018]	[0.018]	[0.018]	[0.018]	[0.018]	[0.018]
black_male	-0.337***	-0.102***	-0.101***	-0.113***	-0.145***	-0.112***	-0.145***
	[0.017]	[0.017]	[0.017]	[0.017]	[0.017]	[0.017]	[0.017]
black_female	-0.123***	0.078***	0.077***	0.066***	0.019	0.066***	0.020
	[0.016]	[0.016]	[0.016]	[0.016]	[0.016]	[0.016]	[0.016]
o._Iage_14	-	-	-	-	-	-	-
							
o._Iage_15	-	-	-	-	-	-	-
							
o._Iage_16	-	-	-	-	-	-	-
							
o._Iage_17	-	-	-	-	-	-	-
							
o._Iage_18	-	-	-	-	-	-	-
							
o._Iage_19	-	-	-	-	-	-	-
							
o._Iage_20	-	-	-	-	-	-	-
							
o._Iage_21	-	-	-	-	-	-	-
							
o._Iage_22	-	-	-	-	-	-	-
							
_Iage_23	-0.326***	-0.331***	-0.331***	-0.153*	-0.170*	-0.149	-0.169*
	[0.114]	[0.108]	[0.109]	[0.093]	[0.091]	[0.093]	[0.091]
_Iage_24	-0.282**	-0.289***	-0.289***	-0.115	-0.134	-0.111	-0.134
	[0.113]	[0.107]	[0.108]	[0.092]	[0.090]	[0.091]	[0.090]
_Iage_25	-0.242**	-0.251**	-0.251**	-0.081	-0.101	-0.077	-0.100
	[0.112]	[0.107]	[0.107]	[0.091]	[0.089]	[0.091]	[0.089]
_Iage_26	-0.208*	-0.219**	-0.219**	-0.052	-0.072	-0.049	-0.072
	[0.111]	[0.106]	[0.106]	[0.089]	[0.087]	[0.089]	[0.087]
_Iage_27	-0.183*	-0.194*	-0.194*	-0.032	-0.052	-0.028	-0.051
	[0.110]	[0.105]	[0.105]	[0.088]	[0.086]	[0.088]	[0.086]
_Iage_28	-0.157	-0.170	-0.170	-0.012	-0.033	-0.009	-0.032
	[0.108]	[0.104]	[0.104]	[0.087]	[0.085]	[0.087]	[0.085]
_Iage_29	-0.137	-0.150	-0.149	0.003	-0.017	0.007	-0.017
	[0.107]	[0.102]	[0.103]	[0.086]	[0.084]	[0.086]	[0.084]
_Iage_30	-0.119	-0.131	-0.130	0.018	-0.000	0.021	-0.000
	[0.106]	[0.101]	[0.102]	[0.085]	[0.083]	[0.085]	[0.083]
_Iage_31	-0.106	-0.116	-0.116	0.028	0.010	0.031	0.010
	[0.105]	[0.100]	[0.100]	[0.083]	[0.081]	[0.083]	[0.081]
_Iage_32	-0.111	-0.120	-0.119	0.021	0.005	0.024	0.005
	[0.103]	[0.099]	[0.099]	[0.082]	[0.080]	[0.082]	[0.080]
_Iage_33	-0.097	-0.106	-0.105	0.032	0.017	0.034	0.017
	[0.102]	[0.097]	[0.098]	[0.079]	[0.078]	[0.079]	[0.078]
_Iage_34	-0.087	-0.098	-0.097	0.035	0.019	0.038	0.020
	[0.100]	[0.096]	[0.096]	[0.078]	[0.076]	[0.078]	[0.076]
_Iage_35	-0.054	-0.063	-0.063	0.065	0.051	0.067	0.051
	[0.099]	[0.095]	[0.096]	[0.076]	[0.074]	[0.076]	[0.074]
_Iage_36	-0.042	-0.055	-0.054	0.070	0.055	0.072	0.056
	[0.097]	[0.093]	[0.094]	[0.074]	[0.072]	[0.074]	[0.072]
_Iage_37	-0.046	-0.052	-0.051	0.067	0.055	0.069	0.055
	[0.095]	[0.091]	[0.092]	[0.073]	[0.071]	[0.072]	[0.071]
_Iage_38	-0.024	-0.036	-0.035	0.080	0.067	0.082	0.067
	[0.094]	[0.091]	[0.091]	[0.070]	[0.069]	[0.070]	[0.069]
_Iage_39	-0.043	-0.047	-0.046	0.064	0.054	0.066	0.054
	[0.092]	[0.089]	[0.089]	[0.069]	[0.068]	[0.069]	[0.068]
_Iage_40	-0.009	-0.019	-0.018	0.087	0.076	0.089	0.076
	[0.091]	[0.088]	[0.089]	[0.067]	[0.066]	[0.067]	[0.066]
_Iage_41	-0.030	-0.031	-0.030	0.070	0.064	0.072	0.064
	[0.088]	[0.085]	[0.086]	[0.065]	[0.064]	[0.065]	[0.064]
_Iage_42	0.002	-0.006	-0.004	0.093	0.084	0.095	0.084
	[0.088]	[0.086]	[0.086]	[0.063]	[0.062]	[0.063]	[0.062]
_Iage_43	-0.052	-0.052	-0.051	0.041	0.038	0.043	0.038
	[0.084]	[0.081]	[0.082]	[0.060]	[0.059]	[0.060]	[0.059]
_Iage_44	0.006	-0.000	0.001	0.090	0.084	0.091	0.084
	[0.083]	[0.081]	[0.081]	[0.056]	[0.055]	[0.056]	[0.055]
_Iage_45	-0.047	-0.047	-0.046	0.037	0.036	0.038	0.036
	[0.079]	[0.077]	[0.077]	[0.054]	[0.053]	[0.054]	[0.053]
_Iage_46	0.004	-0.002	0.000	0.079	0.074	0.081*	0.074
	[0.079]	[0.076]	[0.077]	[0.049]	[0.048]	[0.049]	[0.048]
_Iage_47	-0.037	-0.034	-0.033	0.042	0.042	0.043	0.043
	[0.074]	[0.072]	[0.073]	[0.048]	[0.047]	[0.048]	[0.047]
_Iage_48	-0.019	-0.024	-0.021	0.049	0.046	0.050	0.046
	[0.075]	[0.073]	[0.073]	[0.042]	[0.042]	[0.042]	[0.042]
_Iage_49	-0.073	-0.070	-0.068	-0.002	0.002	-0.001	0.002
	[0.072]	[0.070]	[0.070]	[0.045]	[0.045]	[0.045]	[0.045]
_Iage_50	-0.023	-0.023	-0.022	0.040	0.036	0.040	0.036
	[0.074]	[0.071]	[0.072]	[0.039]	[0.038]	[0.039]	[0.039]
_Iage_51	-0.055	-0.052	-0.050	0.005	0.008	0.005	0.008
	[0.070]	[0.068]	[0.069]	[0.045]	[0.045]	[0.045]	[0.045]
_Iage_52	-0.052	-0.052	-0.050	0.004	0.004	0.004	0.004
	[0.074]	[0.072]	[0.072]	[0.035]	[0.035]	[0.035]	[0.035]
_Iage_53	-0.022	-0.018	-0.016	0.033	0.041	0.033	0.041
	[0.071]	[0.069]	[0.069]	[0.050]	[0.049]	[0.050]	[0.049]
o._Iage_54				-	-	-	-
							
_Iage_55				0.046	0.061	0.046	0.061
				[0.076]	[0.076]	[0.076]	[0.076]
o._Iyear_1980	-	-	-	-	-	-	-
							
_Iyear_1981	0.124***	0.090**	0.091**	0.087**	0.084**	0.087**	0.084**
	[0.040]	[0.041]	[0.041]	[0.041]	[0.042]	[0.041]	[0.042]
_Iyear_1982	0.111***	0.090**	0.090**	0.090**	0.086**	0.090**	0.086**
	[0.040]	[0.041]	[0.040]	[0.040]	[0.041]	[0.040]	[0.041]
_Iyear_1983	0.134***	0.112***	0.113***	0.118***	0.114***	0.118***	0.114***
	[0.041]	[0.042]	[0.042]	[0.042]	[0.043]	[0.042]	[0.043]
_Iyear_1984	0.151***	0.132***	0.133***	0.141***	0.137***	0.141***	0.137***
	[0.041]	[0.042]	[0.042]	[0.042]	[0.043]	[0.042]	[0.043]
_Iyear_1985	0.200***	0.182***	0.183***	0.194***	0.189***	0.195***	0.189***
	[0.041]	[0.042]	[0.042]	[0.042]	[0.043]	[0.042]	[0.043]
_Iyear_1986	0.223***	0.206***	0.206***	0.223***	0.218***	0.223***	0.218***
	[0.041]	[0.043]	[0.043]	[0.043]	[0.044]	[0.043]	[0.044]
_Iyear_1987	0.313***	0.291***	0.291***	0.313***	0.305***	0.313***	0.305***
	[0.042]	[0.043]	[0.043]	[0.043]	[0.044]	[0.043]	[0.044]
_Iyear_1988	0.371***	0.354***	0.354***	0.379***	0.371***	0.380***	0.371***
	[0.043]	[0.044]	[0.044]	[0.044]	[0.045]	[0.044]	[0.045]
_Iyear_1989	0.399***	0.381***	0.380***	0.410***	0.401***	0.411***	0.401***
	[0.044]	[0.045]	[0.045]	[0.045]	[0.046]	[0.045]	[0.046]
_Iyear_1990	0.445***	0.426***	0.426***	0.460***	0.450***	0.461***	0.450***
	[0.045]	[0.046]	[0.046]	[0.046]	[0.047]	[0.046]	[0.047]
_Iyear_1991	0.480***	0.457***	0.457***	0.495***	0.482***	0.496***	0.482***
	[0.046]	[0.047]	[0.047]	[0.047]	[0.048]	[0.047]	[0.048]
_Iyear_1992	0.517***	0.493***	0.493***	0.535***	0.521***	0.536***	0.521***
	[0.048]	[0.049]	[0.049]	[0.049]	[0.050]	[0.049]	[0.050]
_Iyear_1993	0.546***	0.518***	0.518***	0.564***	0.549***	0.565***	0.549***
	[0.048]	[0.049]	[0.048]	[0.049]	[0.050]	[0.049]	[0.050]
_Iyear_1994	0.601***	0.571***	0.571***	0.622***	0.605***	0.623***	0.605***
	[0.049]	[0.050]	[0.050]	[0.050]	[0.051]	[0.050]	[0.051]
_Iyear_1996	0.666***	0.640***	0.639***	0.698***	0.681***	0.700***	0.681***
	[0.052]	[0.052]	[0.052]	[0.053]	[0.054]	[0.053]	[0.054]
o._Iyear_1997	-	-	-	-	-	-	-
							
_Iyear_1998	0.760***	0.728***	0.727***	0.794***	0.772***	0.795***	0.772***
	[0.056]	[0.056]	[0.055]	[0.056]	[0.057]	[0.056]	[0.057]
o._Iyear_1999	-	-	-	-	-	-	-
							
_Iyear_2000	0.785***	0.764***	0.763***	0.841***	0.822***	0.843***	0.823***
	[0.060]	[0.060]	[0.059]	[0.060]	[0.061]	[0.060]	[0.061]
o._Iyear_2001	-	-	-	-	-	-	-
							
_Iyear_2002	0.820***	0.794***	0.793***	0.879***	0.857***	0.881***	0.857***
	[0.065]	[0.064]	[0.063]	[0.064]	[0.065]	[0.064]	[0.065]
o._Iyear_2003	-	-	-	-	-	-	-
							
_Iyear_2004	0.751***	0.719***	0.717***	0.813***	0.787***	0.815***	0.787***
	[0.071]	[0.069]	[0.069]	[0.070]	[0.070]	[0.070]	[0.070]
o._Iyear_2005	-	-	-	-	-	-	-
							
_Iyear_2006	0.806***	0.776***	0.774***	0.879***	0.852***	0.881***	0.852***
	[0.077]	[0.075]	[0.074]	[0.075]	[0.076]	[0.075]	[0.076]
o._Iyear_2007	-	-	-	-	-	-	-
							
_Iyear_2008	1.018***	0.982***	0.981***	1.094***	1.062***	1.097***	1.063***
	[0.082]	[0.079]	[0.078]	[0.079]	[0.079]	[0.079]	[0.079]
o._Iyear_2009	-	-	-	-	-	-	-
							
_Iyear_2010	1.065***	1.025***	1.023***	1.146***	1.112***	1.149***	1.113***
	[0.087]	[0.084]	[0.084]	[0.085]	[0.085]	[0.085]	[0.085]
o._Iyear_2011	-	-	-	-	-	-	-
							
_Iyear_2012	1.108***	1.069***	1.067***	1.198***	1.162***	1.202***	1.163***
	[0.094]	[0.089]	[0.089]	[0.090]	[0.090]	[0.090]	[0.090]
o._Iyear_2013	-	-	-	-	-	-	-
							
_Idiv_2	-0.156***	-0.150***	-0.149***	-0.144***	-0.134***	-0.144***	-0.134***
	[0.017]	[0.016]	[0.016]	[0.016]	[0.016]	[0.016]	[0.016]
_Idiv_3	-0.132***	-0.105***	-0.105***	-0.102***	-0.106***	-0.103***	-0.106***
	[0.016]	[0.015]	[0.015]	[0.015]	[0.015]	[0.015]	[0.015]
_Idiv_4	-0.052***	-0.050***	-0.047***	-0.048***	-0.045**	-0.048***	-0.045**
	[0.020]	[0.018]	[0.018]	[0.018]	[0.018]	[0.018]	[0.018]
_Imetro_1	0.154***	0.138***	0.139***	0.137***	0.133***	0.137***	0.133***
	[0.014]	[0.013]	[0.013]	[0.013]	[0.013]	[0.013]	[0.013]
_Imetro_2	0.185***	0.156***	0.156***	0.153***	0.143***	0.153***	0.143***
	[0.016]	[0.015]	[0.015]	[0.015]	[0.014]	[0.015]	[0.014]
_Imetro_3	0.144***	0.114***	0.113***	0.110***	0.097***	0.110***	0.097***
	[0.018]	[0.017]	[0.017]	[0.017]	[0.017]	[0.017]	[0.017]
_Imetro_4	0.191***	0.155***	0.154***	0.147***	0.136***	0.147***	0.136***
	[0.053]	[0.052]	[0.052]	[0.052]	[0.051]	[0.052]	[0.051]
o._Imetro_5	-	-	-	-	-	-	-
							
_Iurban_1	0.093***	0.067***	0.066***	0.063***	0.048***	0.063***	0.048***
	[0.012]	[0.011]	[0.011]	[0.011]	[0.011]	[0.011]	[0.011]
_Iurban_2	0.079**	0.061**	0.063**	0.064**	0.048	0.064**	0.048
	[0.033]	[0.031]	[0.031]	[0.031]	[0.031]	[0.031]	[0.031]
_Iage_54	-0.044	-0.049	-0.047				
	[0.079]	[0.076]	[0.076]				
o._Iage_55	-	-	-				
							
afqt_noncog						0.008	0.001
						[0.006]	[0.006]
							
Observations	126,251	126,251	126,251	126,191	126,191	126,191	126,191
R-squared	0.300	0.343	0.344	0.347	0.359	0.347	0.359
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.10							
